
===================================BUG REPORT===================================
Welcome to bitsandbytes. For bug reports, please run

python -m bitsandbytes

 and submit this information together with your error trace to: https://github.com/TimDettmers/bitsandbytes/issues
================================================================================
bin /opt/conda/lib/python3.10/site-packages/bitsandbytes/libbitsandbytes_cuda118.so
CUDA SETUP: CUDA runtime path found: /usr/local/cuda/lib64/libcudart.so
CUDA SETUP: Highest compute capability among GPUs detected: 8.0
CUDA SETUP: Detected CUDA version 118
CUDA SETUP: Loading binary /opt/conda/lib/python3.10/site-packages/bitsandbytes/libbitsandbytes_cuda118.so...
{'model_name': 'tiny_LLaMA_120M_SSM_O2', 'name': 'tinyllama_120m_ssm_o2', 'num_of_devices': 1, 'global_batch_size': 16, 'learning_rate': 0.001, 'micro_batch_size': 16, 'max_step': 230000, 'warmup_steps': 2000, 'log_step_interval': 100, 'eval_iters': 100, 'save_step_interval': 5000, 'eval_step_interval': 5000, 'weight_decay': 0.25, 'beta1': 0.9, 'beta2': 0.999, 'grad_clip': 1.0, 'decay_lr': True, 'min_lr': 4e-05, 'batch_size': 16, 'gradient_accumulation_steps': 1, 'warmup_iters': 2000, 'max_iters': 230000, 'lr_decay_iters': 230000, 'log_iter_interval': 100}
Loading model with {'org': 'StatNLP-research', 'name': 'tiny_LLaMA_120M_SSM_O2', 'block_size': 1024, 'vocab_size': 50257, 'padding_multiple': 1, 'padded_vocab_size': 50257, 'n_layer': 12, 'n_head': 12, 'n_embd': 768, 'n_ssm': 128, 'order': 2, 'rotary_percentage': 1.0, 'parallel_residual': False, 'bias': True, 'n_query_groups': 1, 'shared_attention_norm': False, '_norm_class': 'FusedRMSNorm', 'norm_eps': 1e-05, '_mlp_class': 'LLaMAMLP', 'intermediate_size': 3072, 'condense_ratio': 1, 'time_mixer': 'ssm'}
Time to instantiate model: 0.22 seconds.
Total parameters 165,901,056
Validating ...
Sanity check, val loss 11.0200, val time: 3274.45ms
Estimated TFLOPs: 19.40
iter 86 step 86: loss 9.3288, iter time: 99.67ms (optimizer.step) remaining time: 6.64 hours.  or 0.28 days. 
iter 87 step 87: loss 9.0458, iter time: 101.77ms (optimizer.step) remaining time: 6.64 hours.  or 0.28 days. 
iter 88 step 88: loss 9.0021, iter time: 100.08ms (optimizer.step) remaining time: 6.64 hours.  or 0.28 days. 
iter 89 step 89: loss 9.0284, iter time: 102.82ms (optimizer.step) remaining time: 6.64 hours.  or 0.28 days. 
iter 90 step 90: loss 8.9454, iter time: 102.50ms (optimizer.step) remaining time: 6.64 hours.  or 0.28 days. 
iter 91 step 91: loss 8.8568, iter time: 102.75ms (optimizer.step) remaining time: 6.64 hours.  or 0.28 days. 
iter 92 step 92: loss 8.8178, iter time: 102.24ms (optimizer.step) remaining time: 6.64 hours.  or 0.28 days. 
iter 93 step 93: loss 8.7219, iter time: 102.94ms (optimizer.step) remaining time: 6.64 hours.  or 0.28 days. 
iter 94 step 94: loss 8.8585, iter time: 100.14ms (optimizer.step) remaining time: 6.64 hours.  or 0.28 days. 
iter 95 step 95: loss 8.6463, iter time: 100.11ms (optimizer.step) remaining time: 6.64 hours.  or 0.28 days. 
iter 96 step 96: loss 8.5303, iter time: 100.06ms (optimizer.step) remaining time: 6.64 hours.  or 0.28 days. 
iter 97 step 97: loss 8.7058, iter time: 100.03ms (optimizer.step) remaining time: 6.64 hours.  or 0.28 days. 
iter 98 step 98: loss 8.6795, iter time: 101.04ms (optimizer.step) remaining time: 6.64 hours.  or 0.28 days. 
iter 99 step 99: loss 8.5815, iter time: 100.33ms (optimizer.step) remaining time: 6.64 hours.  or 0.28 days. 
iter 100 step 100: loss 8.5155, iter time: 99.73ms (optimizer.step) remaining time: 6.63 hours.  or 0.28 days. 
iter 101 step 101: loss 8.5491, iter time: 99.88ms (optimizer.step) remaining time: 6.63 hours.  or 0.28 days. 
iter 102 step 102: loss 8.4394, iter time: 100.72ms (optimizer.step) remaining time: 6.63 hours.  or 0.28 days. 
iter 103 step 103: loss 8.4065, iter time: 100.04ms (optimizer.step) remaining time: 6.63 hours.  or 0.28 days. 
iter 104 step 104: loss 8.3348, iter time: 102.46ms (optimizer.step) remaining time: 6.63 hours.  or 0.28 days. 
iter 105 step 105: loss 8.2136, iter time: 100.01ms (optimizer.step) remaining time: 6.63 hours.  or 0.28 days. 
iter 106 step 106: loss 8.4392, iter time: 100.25ms (optimizer.step) remaining time: 6.63 hours.  or 0.28 days. 
iter 107 step 107: loss 8.3383, iter time: 99.97ms (optimizer.step) remaining time: 6.63 hours.  or 0.28 days. 
iter 108 step 108: loss 8.2320, iter time: 100.03ms (optimizer.step) remaining time: 6.63 hours.  or 0.28 days. 
iter 109 step 109: loss 8.2951, iter time: 100.01ms (optimizer.step) remaining time: 6.63 hours.  or 0.28 days. 
iter 110 step 110: loss 7.9325, iter time: 100.12ms (optimizer.step) remaining time: 6.63 hours.  or 0.28 days. 
iter 111 step 111: loss 7.9325, iter time: 100.04ms (optimizer.step) remaining time: 6.63 hours.  or 0.28 days. 
iter 112 step 112: loss 8.0108, iter time: 99.66ms (optimizer.step) remaining time: 6.62 hours.  or 0.28 days. 
iter 113 step 113: loss 7.8068, iter time: 101.76ms (optimizer.step) remaining time: 6.62 hours.  or 0.28 days. 
iter 114 step 114: loss 7.9423, iter time: 100.23ms (optimizer.step) remaining time: 6.62 hours.  or 0.28 days. 
iter 115 step 115: loss 7.7404, iter time: 99.92ms (optimizer.step) remaining time: 6.62 hours.  or 0.28 days. 
iter 116 step 116: loss 7.7646, iter time: 100.24ms (optimizer.step) remaining time: 6.62 hours.  or 0.28 days. 
iter 117 step 117: loss 7.6389, iter time: 99.98ms (optimizer.step) remaining time: 6.62 hours.  or 0.28 days. 
iter 118 step 118: loss 7.7762, iter time: 99.98ms (optimizer.step) remaining time: 6.62 hours.  or 0.28 days. 
iter 119 step 119: loss 7.6420, iter time: 100.04ms (optimizer.step) remaining time: 6.62 hours.  or 0.28 days. 
iter 120 step 120: loss 7.5185, iter time: 99.98ms (optimizer.step) remaining time: 6.62 hours.  or 0.28 days. 
iter 121 step 121: loss 7.7047, iter time: 100.20ms (optimizer.step) remaining time: 6.62 hours.  or 0.28 days. 
iter 122 step 122: loss 7.4887, iter time: 100.00ms (optimizer.step) remaining time: 6.62 hours.  or 0.28 days. 
iter 123 step 123: loss 7.9825, iter time: 102.34ms (optimizer.step) remaining time: 6.62 hours.  or 0.28 days. 
iter 124 step 124: loss 7.8600, iter time: 100.17ms (optimizer.step) remaining time: 6.62 hours.  or 0.28 days. 
iter 125 step 125: loss 7.8217, iter time: 100.08ms (optimizer.step) remaining time: 6.62 hours.  or 0.28 days. 
iter 126 step 126: loss 7.9604, iter time: 102.20ms (optimizer.step) remaining time: 6.62 hours.  or 0.28 days. 
iter 127 step 127: loss 8.1127, iter time: 99.88ms (optimizer.step) remaining time: 6.62 hours.  or 0.28 days. 
iter 128 step 128: loss 8.0082, iter time: 100.41ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 129 step 129: loss 8.0299, iter time: 100.16ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 130 step 130: loss 8.6987, iter time: 100.04ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 131 step 131: loss 7.7754, iter time: 100.23ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 132 step 132: loss 7.9166, iter time: 100.00ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 133 step 133: loss 7.7634, iter time: 99.99ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 134 step 134: loss 7.7439, iter time: 99.87ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 135 step 135: loss 7.8682, iter time: 100.16ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 136 step 136: loss 7.8495, iter time: 100.13ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 137 step 137: loss 7.6157, iter time: 100.03ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 138 step 138: loss 7.6493, iter time: 100.00ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 139 step 139: loss 7.7813, iter time: 100.10ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 140 step 140: loss 7.9534, iter time: 99.88ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 141 step 141: loss 7.5410, iter time: 99.95ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 142 step 142: loss 7.6181, iter time: 100.02ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 143 step 143: loss 7.8058, iter time: 102.66ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 144 step 144: loss 7.5313, iter time: 100.37ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 145 step 145: loss 7.5459, iter time: 100.23ms (optimizer.step) remaining time: 6.61 hours.  or 0.28 days. 
iter 146 step 146: loss 7.5625, iter time: 99.69ms (optimizer.step) remaining time: 6.60 hours.  or 0.28 days. 
iter 147 step 147: loss 7.7898, iter time: 100.04ms (optimizer.step) remaining time: 6.60 hours.  or 0.28 days. 
iter 148 step 148: loss 7.6174, iter time: 100.39ms (optimizer.step) remaining time: 6.60 hours.  or 0.28 days. 
iter 149 step 149: loss 7.7457, iter time: 100.04ms (optimizer.step) remaining time: 6.60 hours.  or 0.28 days. 
iter 150 step 150: loss 7.5481, iter time: 100.08ms (optimizer.step) remaining time: 6.60 hours.  or 0.28 days. 
iter 151 step 151: loss 7.4039, iter time: 99.99ms (optimizer.step) remaining time: 6.60 hours.  or 0.28 days. 
iter 152 step 152: loss 7.6119, iter time: 100.08ms (optimizer.step) remaining time: 6.60 hours.  or 0.28 days. 
iter 153 step 153: loss 7.3469, iter time: 99.90ms (optimizer.step) remaining time: 6.60 hours.  or 0.28 days. 
iter 154 step 154: loss 7.6354, iter time: 100.04ms (optimizer.step) remaining time: 6.60 hours.  or 0.28 days. 
